sample_uid,split,scene_id,sequence_id,frame_id,height_m,height_category,scene_category,gt_instances,pred_instances,iou_threshold,tp,fp,fn,precision,recall,f1,absolute_count_error
scene_09_50_000713,test,scene_09,scene_09,000713,50,50,scene_09,10,6,0.25,0,6,10,0.0,0.0,0.0,4
scene_09_50_000713,test,scene_09,scene_09,000713,50,50,scene_09,10,6,0.5,0,6,10,0.0,0.0,0.0,4
scene_09_50_000714,test,scene_09,scene_09,000714,50,50,scene_09,12,7,0.25,0,7,12,0.0,0.0,0.0,5
scene_09_50_000714,test,scene_09,scene_09,000714,50,50,scene_09,12,7,0.5,0,7,12,0.0,0.0,0.0,5
scene_09_50_000715,test,scene_09,scene_09,000715,50,50,scene_09,11,10,0.25,0,10,11,0.0,0.0,0.0,1
scene_09_50_000715,test,scene_09,scene_09,000715,50,50,scene_09,11,10,0.5,0,10,11,0.0,0.0,0.0,1
scene_09_50_000716,test,scene_09,scene_09,000716,50,50,scene_09,10,1,0.25,0,1,10,0.0,0.0,0.0,9
scene_09_50_000716,test,scene_09,scene_09,000716,50,50,scene_09,10,1,0.5,0,1,10,0.0,0.0,0.0,9
scene_09_50_000717,test,scene_09,scene_09,000717,50,50,scene_09,12,0,0.25,0,0,12,0.0,0.0,0.0,12
scene_09_50_000717,test,scene_09,scene_09,000717,50,50,scene_09,12,0,0.5,0,0,12,0.0,0.0,0.0,12
scene_09_50_000718,test,scene_09,scene_09,000718,50,50,scene_09,13,7,0.25,0,7,13,0.0,0.0,0.0,6
scene_09_50_000718,test,scene_09,scene_09,000718,50,50,scene_09,13,7,0.5,0,7,13,0.0,0.0,0.0,6
scene_09_50_000719,test,scene_09,scene_09,000719,50,50,scene_09,15,4,0.25,0,4,15,0.0,0.0,0.0,11
scene_09_50_000719,test,scene_09,scene_09,000719,50,50,scene_09,15,4,0.5,0,4,15,0.0,0.0,0.0,11
scene_09_50_000720,test,scene_09,scene_09,000720,50,50,scene_09,16,10,0.25,0,10,16,0.0,0.0,0.0,6
scene_09_50_000720,test,scene_09,scene_09,000720,50,50,scene_09,16,10,0.5,0,10,16,0.0,0.0,0.0,6
scene_09_50_000721,test,scene_09,scene_09,000721,50,50,scene_09,18,1,0.25,0,1,18,0.0,0.0,0.0,17
scene_09_50_000721,test,scene_09,scene_09,000721,50,50,scene_09,18,1,0.5,0,1,18,0.0,0.0,0.0,17
scene_09_50_000722,test,scene_09,scene_09,000722,50,50,scene_09,13,11,0.25,0,11,13,0.0,0.0,0.0,2
scene_09_50_000722,test,scene_09,scene_09,000722,50,50,scene_09,13,11,0.5,0,11,13,0.0,0.0,0.0,2
scene_09_50_000723,test,scene_09,scene_09,000723,50,50,scene_09,13,2,0.25,0,2,13,0.0,0.0,0.0,11
scene_09_50_000723,test,scene_09,scene_09,000723,50,50,scene_09,13,2,0.5,0,2,13,0.0,0.0,0.0,11
scene_09_50_000724,test,scene_09,scene_09,000724,50,50,scene_09,13,1,0.25,0,1,13,0.0,0.0,0.0,12
scene_09_50_000724,test,scene_09,scene_09,000724,50,50,scene_09,13,1,0.5,0,1,13,0.0,0.0,0.0,12
scene_09_50_000725,test,scene_09,scene_09,000725,50,50,scene_09,13,8,0.25,0,8,13,0.0,0.0,0.0,5
scene_09_50_000725,test,scene_09,scene_09,000725,50,50,scene_09,13,8,0.5,0,8,13,0.0,0.0,0.0,5
scene_09_50_000726,test,scene_09,scene_09,000726,50,50,scene_09,12,0,0.25,0,0,12,0.0,0.0,0.0,12
scene_09_50_000726,test,scene_09,scene_09,000726,50,50,scene_09,12,0,0.5,0,0,12,0.0,0.0,0.0,12
scene_09_50_000727,test,scene_09,scene_09,000727,50,50,scene_09,13,0,0.25,0,0,13,0.0,0.0,0.0,13
scene_09_50_000727,test,scene_09,scene_09,000727,50,50,scene_09,13,0,0.5,0,0,13,0.0,0.0,0.0,13
scene_09_50_000728,test,scene_09,scene_09,000728,50,50,scene_09,14,1,0.25,0,1,14,0.0,0.0,0.0,13
scene_09_50_000728,test,scene_09,scene_09,000728,50,50,scene_09,14,1,0.5,0,1,14,0.0,0.0,0.0,13
